goos: linux
goarch: amd64
pkg: github.com/hyperlocalise/rain-orm/pkg/rain
cpu: Intel(R) Xeon(R) Processor @ 2.30GHz
BenchmarkSQLiteInsertModel/small-4               	     331	   4169357 ns/op	    2021 B/op	      47 allocs/op
BenchmarkSQLiteInsertModel/small-4               	     430	   3276430 ns/op	    2024 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/small-4               	     334	   3162379 ns/op	    2021 B/op	      47 allocs/op
BenchmarkSQLiteInsertModel/medium-4              	     393	   2982787 ns/op	    2024 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/medium-4              	     451	   2952919 ns/op	    2026 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/medium-4              	     386	   3386595 ns/op	    2025 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/large-4               	     471	   2358961 ns/op	    2025 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/large-4               	     517	   2992648 ns/op	    2026 B/op	      48 allocs/op
BenchmarkSQLiteInsertModel/large-4               	     370	   2861067 ns/op	    2025 B/op	      47 allocs/op
BenchmarkSQLiteInsertSet/small-4                 	     434	   2729246 ns/op	    1924 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/small-4                 	     488	   2519446 ns/op	    1927 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/small-4                 	     554	   2956989 ns/op	    1929 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/medium-4                	     487	   2590605 ns/op	    1929 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/medium-4                	     535	   3201332 ns/op	    1930 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/medium-4                	     426	   3025399 ns/op	    1927 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/large-4                 	     375	   3316473 ns/op	    1924 B/op	      38 allocs/op
BenchmarkSQLiteInsertSet/large-4                 	     462	   2446556 ns/op	    1926 B/op	      39 allocs/op
BenchmarkSQLiteInsertSet/large-4                 	     339	   3382639 ns/op	    1923 B/op	      38 allocs/op
BenchmarkSQLiteSelectPointLookup/small-4         	   25596	     47131 ns/op	    2104 B/op	      47 allocs/op
BenchmarkSQLiteSelectPointLookup/small-4         	   24559	     47584 ns/op	    2104 B/op	      47 allocs/op
BenchmarkSQLiteSelectPointLookup/small-4         	   26325	     47661 ns/op	    2103 B/op	      47 allocs/op
BenchmarkSQLiteSelectPointLookup/medium-4        	   26490	     48302 ns/op	    2120 B/op	      49 allocs/op
BenchmarkSQLiteSelectPointLookup/medium-4        	   25443	     45399 ns/op	    2120 B/op	      49 allocs/op
BenchmarkSQLiteSelectPointLookup/medium-4        	   27050	     42306 ns/op	    2120 B/op	      49 allocs/op
BenchmarkSQLiteSelectPointLookup/large-4         	   28590	     44616 ns/op	    2120 B/op	      49 allocs/op
BenchmarkSQLiteSelectPointLookup/large-4         	   27074	     42402 ns/op	    2120 B/op	      49 allocs/op
BenchmarkSQLiteSelectPointLookup/large-4         	   28065	     44634 ns/op	    2120 B/op	      49 allocs/op
BenchmarkSQLitePreparedSelectPointLookup/small-4 	   48578	     24610 ns/op	    1432 B/op	      35 allocs/op
BenchmarkSQLitePreparedSelectPointLookup/small-4 	   48756	     23337 ns/op	    1432 B/op	      35 allocs/op
BenchmarkSQLitePreparedSelectPointLookup/small-4 	   50634	     24195 ns/op	    1432 B/op	      35 allocs/op
